neighborhood,year,median_asking_rent,yoy_pct
Midtown West (10019),2021,3415,1.6
Midtown West (10019),2022,4089,19.7
Midtown West (10019),2023,4215,3.1
Midtown West (10019),2024,4329,2.7
Midtown West (10019),2025,4568,5.5
Times Square (10036),2010,,
Times Square (10036),2011,,
Times Square (10036),2012,,
Times Square (10036),2013,,
Times Square (10036),2014,,
Times Square (10036),2015,3397,
Times Square (10036),2016,3382,-0.4
Times Square (10036),2017,3390,0.2
Times Square (10036),2018,3402,0.3
Times Square (10036),2019,3479,2.3
Times Square (10036),2020,3269,-6.0
Times Square (10036),2021,3295,0.8
Times Square (10036),2022,4034,22.4
Times Square (10036),2023,4160,3.1
Times Square (10036),2024,4257,2.3
Times Square (10036),2025,4447,4.5
Midtown East (10022),2010,,
Midtown East (10022),2011,,
Midtown East (10022),2012,,
Midtown East (10022),2013,,
Midtown East (10022),2014,,
Midtown East (10022),2015,3381,
Midtown East (10022),2016,3427,1.4
Midtown East (10022),2017,3432,0.2
Midtown East (10022),2018,3460,0.8
Midtown East (10022),2019,3531,2.0
Midtown East (10022),2020,3340,-5.4
Midtown East (10022),2021,3288,-1.6
Midtown East (10022),2022,4038,22.8
Midtown East (10022),2023,4198,4.0
Midtown East (10022),2024,4320,2.9
Midtown East (10022),2025,4591,6.3
Turtle Bay (10017),2010,,
Turtle Bay (10017),2011,,
Turtle Bay (10017),2012,,
Turtle Bay (10017),2013,,
Turtle Bay (10017),2014,,
Turtle Bay (10017),2015,3157,
Turtle Bay (10017),2016,3233,2.4
Turtle Bay (10017),2017,3224,-0.3
Turtle Bay (10017),2018,3216,-0.2
Turtle Bay (10017),2019,3293,2.4
Turtle Bay (10017),2020,3098,-5.9
Turtle Bay (10017),2021,3140,1.4
Turtle Bay (10017),2022,3838,22.2
Turtle Bay (10017),2023,3974,3.6
Turtle Bay (10017),2024,4090,2.9
Turtle Bay (10017),2025,4295,5.0
Murray Hill (10016),2010,,
Murray Hill (10016),2011,,
Murray Hill (10016),2012,,
Murray Hill (10016),2013,,
Murray Hill (10016),2014,,
Murray Hill (10016),2015,3630,
Murray Hill (10016),2016,3648,0.5
Murray Hill (10016),2017,3633,-0.4
Murray Hill (10016),2018,3678,1.2
Murray Hill (10016),2019,3772,2.6
Murray Hill (10016),2020,3519,-6.7
Murray Hill (10016),2021,3565,1.3
Murray Hill (10016),2022,4348,22.0
Murray Hill (10016),2023,4449,2.3
Murray Hill (10016),2024,4572,2.8
Murray Hill (10016),2025,4806,5.1
Garment District (10018),2010,,
Garment District (10018),2011,,
Garment District (10018),2012,,
Garment District (10018),2013,,
Garment District (10018),2014,,
Garment District (10018),2015,3698,
Garment District (10018),2016,3699,0.0
Garment District (10018),2017,3692,-0.2
Garment District (10018),2018,3738,1.2
Garment District (10018),2019,3861,3.3
Garment District (10018),2020,3579,-7.3
Garment District (10018),2021,3697,3.3
Garment District (10018),2022,4391,18.8
Garment District (10018),2023,4502,2.5
Garment District (10018),2024,4625,2.7
Garment District (10018),2025,4803,3.8
Chelsea North (10001),2010,,
Chelsea North (10001),2011,,
Chelsea North (10001),2012,,
Chelsea North (10001),2013,,
Chelsea North (10001),2014,,
Chelsea North (10001),2015,4067,
Chelsea North (10001),2016,4089,0.6
Chelsea North (10001),2017,4008,-2.0
Chelsea North (10001),2018,4063,1.4
Chelsea North (10001),2019,4215,3.7
Chelsea North (10001),2020,3890,-7.7
Chelsea North (10001),2021,4099,5.4
Chelsea North (10001),2022,4885,19.2
Chelsea North (10001),2023,4994,2.2
Chelsea North (10001),2024,5144,3.0
Chelsea North (10001),2025,5392,4.8
Flatiron (10010),2010,,
Flatiron (10010),2011,,
Flatiron (10010),2012,,
Flatiron (10010),2013,,
Flatiron (10010),2014,,
Flatiron (10010),2015,3677,
Flatiron (10010),2016,3731,1.5
Flatiron (10010),2017,3738,0.2
Flatiron (10010),2018,3768,0.8
Flatiron (10010),2019,3867,2.6
Flatiron (10010),2020,3592,-7.1
Flatiron (10010),2021,3657,1.8
Flatiron (10010),2022,4408,20.5
Flatiron (10010),2023,4571,3.7
Flatiron (10010),2024,4722,3.3
Flatiron (10010),2025,4992,5.7
Chelsea (10011),2010,,
Chelsea (10011),2011,,
Chelsea (10011),2012,,
Chelsea (10011),2013,,
Chelsea (10011),2014,,
Chelsea (10011),2015,3874,
Chelsea (10011),2016,3932,1.5
Chelsea (10011),2017,3937,0.1
Chelsea (10011),2018,4006,1.8
Chelsea (10011),2019,4102,2.4
Chelsea (10011),2020,3888,-5.2
Chelsea (10011),2021,3963,2.0
Chelsea (10011),2022,4756,20.0
Chelsea (10011),2023,4927,3.6
Chelsea (10011),2024,5139,4.3
Chelsea (10011),2025,5498,7.0
West Village (10014),2010,,
West Village (10014),2011,,
West Village (10014),2012,,
West Village (10014),2013,,
West Village (10014),2014,,
West Village (10014),2015,3603,
West Village (10014),2016,3660,1.6
West Village (10014),2017,3695,1.0
West Village (10014),2018,3769,2.0
West Village (10014),2019,3903,3.5
West Village (10014),2020,3738,-4.2
West Village (10014),2021,3843,2.8
West Village (10014),2022,4685,21.9
West Village (10014),2023,4879,4.1
West Village (10014),2024,5149,5.5
West Village (10014),2025,5570,8.2
Greenwich Village (10003),2010,,
Greenwich Village (10003),2011,,
Greenwich Village (10003),2012,,
Greenwich Village (10003),2013,,
Greenwich Village (10003),2014,,
Greenwich Village (10003),2015,3417,
Greenwich Village (10003),2016,3480,1.9
Greenwich Village (10003),2017,3509,0.8
Greenwich Village (10003),2018,3566,1.6
Greenwich Village (10003),2019,3658,2.6
Greenwich Village (10003),2020,3437,-6.0
Greenwich Village (10003),2021,3487,1.5
Greenwich Village (10003),2022,4264,22.3
Greenwich Village (10003),2023,4405,3.3
Greenwich Village (10003),2024,4553,3.4
Greenwich Village (10003),2025,4867,6.9
East Village (10009),2010,,
East Village (10009),2011,,
East Village (10009),2012,,
East Village (10009),2013,,
East Village (10009),2014,,
East Village (10009),2015,3211,
East Village (10009),2016,3282,2.2
East Village (10009),2017,3323,1.3
East Village (10009),2018,3372,1.5
East Village (10009),2019,3468,2.8
East Village (10009),2020,3319,-4.3
East Village (10009),2021,3287,-0.9
East Village (10009),2022,4037,22.8
East Village (10009),2023,4173,3.4
East Village (10009),2024,4273,2.4
East Village (10009),2025,4565,6.8
Lower East Side (10002),2010,,
Lower East Side (10002),2011,,
Lower East Side (10002),2012,,
Lower East Side (10002),2013,,
Lower East Side (10002),2014,,
Lower East Side (10002),2015,3268,
Lower East Side (10002),2016,3326,1.8
Lower East Side (10002),2017,3376,1.5
Lower East Side (10002),2018,3446,2.1
Lower East Side (10002),2019,3538,2.7
Lower East Side (10002),2020,3325,-6.0
Lower East Side (10002),2021,3363,1.1
Lower East Side (10002),2022,4066,20.9
Lower East Side (10002),2023,4132,1.6
Lower East Side (10002),2024,4215,2.0
Lower East Side (10002),2025,4448,5.5
SoHo (10012),2010,,
SoHo (10012),2011,,
SoHo (10012),2012,,
SoHo (10012),2013,,
SoHo (10012),2014,,
SoHo (10012),2015,3336,
SoHo (10012),2016,3390,1.6
SoHo (10012),2017,3400,0.3
SoHo (10012),2018,3457,1.7
SoHo (10012),2019,3571,3.3
SoHo (10012),2020,3364,-5.8
SoHo (10012),2021,3394,0.9
SoHo (10012),2022,4157,22.5
SoHo (10012),2023,4360,4.9
SoHo (10012),2024,4533,4.0
SoHo (10012),2025,4828,6.5
Tribeca (10013),2010,,
Tribeca (10013),2011,,
Tribeca (10013),2012,,
Tribeca (10013),2013,,
Tribeca (10013),2014,,
Tribeca (10013),2015,4159,
Tribeca (10013),2016,4195,0.8
Tribeca (10013),2017,4225,0.7
Tribeca (10013),2018,4319,2.2
Tribeca (10013),2019,4460,3.3
Tribeca (10013),2020,4257,-4.6
Tribeca (10013),2021,4372,2.7
Tribeca (10013),2022,5218,19.3
Tribeca (10013),2023,5392,3.3
Tribeca (10013),2024,5626,4.3
Tribeca (10013),2025,6057,7.7
Financial District East (10005),2010,,
Financial District East (10005),2011,,
Financial District East (10005),2012,,
Financial District East (10005),2013,,
Financial District East (10005),2014,,
Financial District East (10005),2015,3298,
Financial District East (10005),2016,3302,0.1
Financial District East (10005),2017,3280,-0.6
Financial District East (10005),2018,3387,3.3
Financial District East (10005),2019,3493,3.1
Financial District East (10005),2020,3332,-4.6
Financial District East (10005),2021,3373,1.2
Financial District East (10005),2022,4029,19.4
Financial District East (10005),2023,4146,2.9
Financial District East (10005),2024,4272,3.0
Financial District East (10005),2025,4431,3.7
Civic Center (10038),2010,,
Civic Center (10038),2011,,
Civic Center (10038),2012,,
Civic Center (10038),2013,,
Civic Center (10038),2014,,
Civic Center (10038),2015,3311,
Civic Center (10038),2016,3290,-0.7
Civic Center (10038),2017,3302,0.4
Civic Center (10038),2018,3346,1.3
Civic Center (10038),2019,3511,4.9
Civic Center (10038),2020,3249,-7.4
Civic Center (10038),2021,3357,3.3
Civic Center (10038),2022,4139,23.3
Civic Center (10038),2023,4267,3.1
Civic Center (10038),2024,4417,3.5
Civic Center (10038),2025,4595,4.0
Tribeca South (10007),2010,,
Tribeca South (10007),2011,,
Tribeca South (10007),2012,,
Tribeca South (10007),2013,,
Tribeca South (10007),2014,,
Tribeca South (10007),2015,,
Tribeca South (10007),2016,,
Tribeca South (10007),2017,5686,
Tribeca South (10007),2018,5760,1.3
Tribeca South (10007),2019,6027,4.6
Tribeca South (10007),2020,5766,-4.3
Tribeca South (10007),2021,6021,4.4
Tribeca South (10007),2022,6944,15.3
Tribeca South (10007),2023,7274,4.7
Tribeca South (10007),2024,7582,4.2
Tribeca South (10007),2025,8151,7.5
World Trade Center (10006),2010,,
World Trade Center (10006),2011,,
World Trade Center (10006),2012,,
World Trade Center (10006),2013,,
World Trade Center (10006),2014,,
World Trade Center (10006),2015,,
World Trade Center (10006),2016,,
World Trade Center (10006),2017,,
World Trade Center (10006),2018,,
World Trade Center (10006),2019,,
World Trade Center (10006),2020,3265,
World Trade Center (10006),2021,3386,3.7
World Trade Center (10006),2022,4151,22.6
World Trade Center (10006),2023,4274,2.9
World Trade Center (10006),2024,4430,3.6
World Trade Center (10006),2025,4579,3.4
Financial District South (10004),2010,,
Financial District South (10004),2011,,
Financial District South (10004),2012,,
Financial District South (10004),2013,,
Financial District South (10004),2014,,
Financial District South (10004),2015,,
Financial District South (10004),2016,,
Financial District South (10004),2017,3380,
Financial District South (10004),2018,3411,0.9
Financial District South (10004),2019,3535,3.6
Financial District South (10004),2020,3243,-8.2
